ID,TEAM1,TEAM2,SCORETEAM1,SCORETEAM2,DATE,CLOSED,POINTSCOMPUTED,LEAGUE_ID
3,Paris SG,Lyon,4,0,2013-11-30 00:00:00,TRUE,TRUE,1
5,Lille,Marseille,1,0,2013-12-03 00:00:00,TRUE,TRUE,1
6,Nantes,Valenciennes,2,1,2013-12-03 00:00:00,TRUE,TRUE,1
7,Nice,Monaco,0,3,2013-12-03 00:00:00,TRUE,TRUE,1
8,Marseille,Nantes,0,1,2013-12-06 00:00:00,TRUE,TRUE,1
9,Lyon,Toulouse,1,1,2013-12-05 00:00:00,TRUE,TRUE,1
10,Rennes,St-Etienne,3,1,2013-12-04 00:00:00,TRUE,TRUE,1
11,Montpellier,Lorient,0,2,2013-12-04 00:00:00,TRUE,TRUE,1
12,Evian TG,Paris SG,2,0,2013-12-04 00:00:00,TRUE,TRUE,1
13,St-Etienne,Evian TG,,,2013-12-14 00:00:00,TRUE,FALSE,1
14,Bordeaux,Lille,,,2013-12-08 00:00:00,TRUE,FALSE,1
15,Monaco,AC Ajaccio,,,2013-12-08 00:00:00,TRUE,FALSE,1
16,Montpellier,St-Etienne,,,2013-12-13 00:00:00,FALSE,FALSE,1
17,Lille,Lorient,,,2013-12-14 00:00:00,FALSE,FALSE,1
