ID,SCORETEAM1,SCORETEAM2,POINTS,UTILISATEUR_ID,GAME_ID
0,0,1,0,2,0
1,1,0,1,2,1
2,0,2,1,2,2
3,1,1,0,0,0
4,1,0,1,0,1
5,0,2,1,0,2
6,1,1,0,3,0
7,2,0,1,3,1
8,1,2,1,3,2
9,1,1,0,4,0
10,0,1,0,4,1
11,1,2,1,4,2
12,2,1,1,5,0
13,1,1,0,5,1
14,1,3,1,5,2
15,2,0,1,7,0
16,2,0,1,7,1
17,1,1,0,7,2
18,3,1,1,9,0
19,1,2,0,9,1
20,3,2,0,9,2
21,0,1,0,8,0
22,1,0,1,8,1
23,0,2,1,8,2
24,1,0,3,6,0
25,0,0,0,6,1
26,0,2,1,6,2
27,1,2,0,1,0
28,2,0,1,1,1
29,1,3,1,1,2
30,2,0,1,10,0
31,1,1,0,10,1
32,0,3,3,10,2
33,1,2,0,11,0
34,1,1,0,11,1
35,1,2,1,11,2
36,1,1,0,12,3
37,0,2,0,12,4
38,0,0,0,12,5
39,0,2,1,12,6
40,1,2,0,12,7
41,0,3,0,12,8
42,1,3,0,12,0
43,1,1,0,12,1
44,0,2,1,12,2
45,2,1,0,13,3
46,2,0,0,13,4
47,1,1,0,13,5
48,0,1,3,13,6
49,0,0,0,13,7
50,0,2,0,13,8
51,1,2,0,13,0
52,1,1,0,13,1
53,0,2,1,13,2
54,1,0,0,14,3
55,1,1,3,14,4
56,1,0,0,14,5
57,0,1,3,14,6
58,1,0,1,14,7
59,0,3,0,14,8
60,1,0,3,14,0
61,0,0,0,14,1
62,0,2,1,14,2
63,0,2,3,15,3
64,0,3,0,15,4
65,0,2,3,15,5
66,1,0,0,15,6
67,1,1,0,15,7
68,1,0,1,15,8
69,1,0,3,15,0
70,4,1,1,15,1
71,2,4,1,15,2
72,2,1,1,16,0
73,2,0,1,16,1
74,1,1,0,16,2
75,1,2,0,7,9
76,2,0,0,7,3
77,0,1,0,7,4
78,0,2,3,7,5
79,2,0,0,7,6
80,1,3,0,7,7
81,0,4,0,7,8
82,1,0,0,3,9
83,1,1,0,3,3
84,1,1,3,3,4
85,0,2,3,3,5
86,1,1,0,3,6
87,0,1,0,3,7
88,0,3,0,3,8
89,1,0,0,16,9
90,1,1,0,16,3
91,1,2,0,16,4
92,0,1,1,16,5
93,0,0,0,16,6
94,2,1,1,16,7
95,1,4,0,16,8
96,2,1,0,9,9
97,1,0,0,9,3
98,2,1,0,9,4
99,3,2,0,9,5
100,0,3,1,9,6
101,2,3,0,9,7
102,0,2,0,9,8
103,1,0,0,6,9
104,0,0,0,6,3
105,1,2,0,6,4
106,1,1,0,6,5
107,0,0,0,6,6
108,0,1,0,6,7
109,0,3,0,6,8
110,1,0,0,14,9
111,2,0,0,0,3
112,1,1,3,0,4
113,1,0,0,0,5
114,0,1,3,0,6
115,0,0,0,0,7
116,0,0,0,0,8
117,2,0,0,4,9
118,2,1,0,4,3
119,0,1,0,4,4
120,2,0,0,4,5
121,0,0,0,4,6
122,1,1,0,4,7
123,1,4,0,4,8
124,2,0,0,15,9
125,2,1,0,17,9
126,0,1,1,17,3
127,0,0,1,17,4
128,1,1,0,17,5
129,1,0,0,17,6
130,1,1,0,17,7
131,0,3,0,17,8
132,1,0,0,2,9
133,1,0,0,2,3
134,0,1,0,2,4
135,2,1,0,2,5
136,0,1,3,2,6
137,0,1,0,2,7
138,0,2,0,2,8
139,0,0,1,8,9
140,1,0,0,8,3
141,0,0,1,8,4
142,0,0,0,8,5
143,0,0,0,8,6
144,0,0,0,8,7
145,0,3,0,8,8
146,2,0,0,12,9
147,2,1,0,5,9
148,1,0,0,5,3
149,1,2,0,5,4
150,0,2,3,5,5
151,1,2,1,5,6
152,0,2,0,5,7
153,0,4,0,5,8
154,2,0,0,18,9
155,1,0,0,18,3
156,0,0,1,18,4
157,2,2,0,18,5
158,0,1,3,18,6
159,1,1,0,18,7
160,1,1,0,18,8
161,3,2,0,11,9
162,1,1,0,11,3
163,1,2,0,11,4
164,2,0,0,11,5
165,1,3,1,11,6
166,1,2,0,11,7
167,1,2,0,11,8
168,1,2,0,1,9
169,1,4,1,1,3
170,1,2,0,1,4
